# -------------------------------------------------------
# Free IP2Location Firewall List by Country
# Source: https://www.ip2location.com/free/visitor-blocker
# Last Generated: 10 Jan 2024 23:55:20 GMT
# [Important] Please update this list every month
#sudo wget https://raw.githubusercontent.com/arkh91/public_script_files/main/firewall/Thailand-firewall-range.txt
# -------------------------------------------------------
#Begin IP Address	End IP Address	Total Count
163.171.168.0	163.171.170.255	768
163.171.187.0	163.171.189.255	768
163.171.212.0	163.171.212.255	256
163.171.68.0	163.171.68.255	256
163.181.149.0	163.181.149.255	256
163.181.16.0	163.181.17.255	512
163.181.52.0	163.181.55.255	1,024
163.181.72.0	163.181.75.255	1,024
163.181.94.0	163.181.95.255	512
163.44.196.0	163.44.199.255	1,024
163.44.201.0	163.44.203.255	768
163.47.179.0	163.47.179.255	256
164.115.0.0	164.115.255.255	65,536
165.154.118.0	165.154.121.255	1,024
165.154.170.0	165.154.171.255	512
165.154.180.0	165.154.181.255	512
165.154.184.0	165.154.185.255	512
165.154.188.0	165.154.190.255	768
165.154.232.0	165.154.232.255	256
165.154.247.0	165.154.247.255	256
165.154.251.0	165.154.251.255	256
165.154.50.0	165.154.51.255	512
166.88.232.0	166.88.232.255	256
166.88.248.0	166.88.248.255	256
167.167.228.0	167.167.228.255	256
167.179.224.0	167.179.255.255	8,192
167.94.112.0	167.94.113.255	512
168.120.0.0	168.120.255.255	65,536
168.199.20.0	168.199.21.255	512
17.81.173.0	17.81.173.255	256
17.81.70.0	17.81.70.255	256
17.91.192.0	17.91.199.255	2,048
17.91.216.0	17.91.223.255	2,048
17.92.152.0	17.92.159.255	2,048
171.4.0.0	171.7.255.255	262,144
171.96.0.0	171.103.255.255	524,288
172.226.46.0	172.226.46.255	256
172.68.104.0	172.68.104.255	256
172.68.189.0	172.68.189.255	256
172.68.232.0	172.68.235.255	1,024
172.68.240.0	172.68.243.255	1,024
172.68.4.0	172.68.4.255	256
172.69.237.0	172.69.237.255	256
172.70.116.0	172.70.116.255	256
172.70.195.0	172.70.195.255	256
173.222.188.0	173.222.191.255	1,024
173.244.52.0	173.244.52.255	256
175.176.220.0	175.176.223.255	1,024
175.29.121.0	175.29.121.255	256
178.171.78.0	178.171.79.255	512
180.128.0.0	180.128.255.255	65,536
180.180.0.0	180.180.255.255	65,536
180.183.0.0	180.183.255.255	65,536
180.210.216.0	180.210.219.255	1,024
180.214.192.0	180.214.223.255	8,192
180.222.120.0	180.222.123.255	1,024
180.222.144.0	180.222.151.255	2,048
180.222.154.0	180.222.159.255	1,536
181.41.207.0	181.41.207.255	256
182.17.0.0	182.17.255.255	65,536
182.232.0.0	182.232.255.255	65,536
182.255.8.0	182.255.15.255	2,048
182.50.80.0	182.50.95.255	4,096
182.52.0.0	182.53.255.255	131,072
182.93.128.0	182.93.255.255	32,768
183.81.225.0	183.81.225.255	256
183.88.0.0	183.89.255.255	131,072
183.90.168.0	183.90.175.255	2,048
184.22.0.0	184.22.255.255	65,536
184.24.112.0	184.24.127.255	4,096
184.27.248.0	184.27.255.255	2,048
184.27.64.0	184.27.79.255	4,096
184.28.100.0	184.28.100.255	256
184.29.90.0	184.29.91.255	512
184.30.0.0	184.30.7.255	2,048
184.50.28.0	184.50.29.255	512
184.82.0.0	184.82.255.255	65,536
184.84.250.0	184.84.251.255	512
184.85.222.0	184.85.222.255	256
185.114.144.0	185.114.145.255	512
185.182.130.0	185.182.131.255	512
185.207.8.0	185.207.8.255	256
185.241.210.0	185.241.210.255	256
185.54.88.0	185.54.91.255	1,024
185.78.164.0	185.78.167.255	1,024
185.84.160.0	185.84.161.255	512
188.215.34.0	188.215.34.255	256
191.101.212.0	191.101.215.255	1,024
191.96.119.0	191.96.119.255	256
191.96.92.0	191.96.93.255	512
192.100.77.0	192.100.77.255	256
192.102.83.0	192.102.83.255	256
192.108.230.0	192.108.230.255	256
192.133.10.0	192.133.10.255	256
192.145.20.0	192.145.23.255	1,024
192.145.69.0	192.145.69.255	256
192.150.249.0	192.150.251.255	768
192.188.172.0	192.188.172.255	256
192.203.247.0	192.203.247.255	256
192.207.62.0	192.207.62.255	256
192.207.64.0	192.207.64.255	256
192.251.227.0	192.251.228.255	512
192.41.170.0	192.41.170.255	256
192.55.18.0	192.55.19.255	512
193.36.112.0	193.36.115.255	1,024
193.58.122.0	193.58.122.255	256
194.31.158.0	194.31.159.255	512
195.190.133.0	195.190.133.255	256
198.49.112.0	198.49.113.255	512
199.182.237.0	199.182.237.255	256
2.17.48.0	2.17.55.255	2,048
2.56.254.0	2.56.254.255	256
2.57.124.0	2.57.127.255	1,024
202.0.117.0	202.0.120.255	1,024
202.12.117.0	202.12.118.255	512
202.12.73.0	202.12.74.255	512
202.12.97.0	202.12.97.255	256
202.122.130.0	202.122.131.255	512
202.122.40.0	202.122.47.255	2,048
202.125.84.0	202.125.85.255	512
202.127.79.0	202.127.79.255	256
202.129.0.0	202.129.63.255	16,384
202.129.204.0	202.129.207.255	1,024
202.133.128.0	202.133.191.255	16,384
202.139.192.0	202.139.223.255	8,192
202.14.117.0	202.14.117.255	256
202.14.164.0	202.14.164.255	256
202.142.192.0	202.142.223.255	8,192
202.143.128.0	202.143.191.255	16,384
202.148.176.0	202.148.191.255	4,096
202.149.24.0	202.149.31.255	2,048
202.149.96.0	202.149.127.255	8,192
202.151.176.0	202.151.191.255	4,096
202.151.4.0	202.151.7.255	1,024
202.151.40.0	202.151.47.255	2,048
202.162.76.0	202.162.79.255	1,024
202.170.112.0	202.170.127.255	4,096
202.172.16.0	202.172.19.255	1,024
202.173.208.0	202.173.223.255	4,096
202.176.64.0	202.176.191.255	32,768
202.182.0.0	202.182.31.255	8,192
202.183.128.0	202.183.255.255	32,768
202.20.105.0	202.20.105.255	256
202.21.140.0	202.21.140.255	256
202.21.149.0	202.21.149.255	256
202.21.250.0	202.21.250.255	256
202.22.8.0	202.22.15.255	2,048
202.27.110.0	202.27.110.255	256
202.28.0.0	202.29.255.255	131,072
202.3.68.0	202.3.71.255	1,024
202.41.160.0	202.41.191.255	8,192
202.43.32.0	202.43.47.255	4,096
202.44.0.0	202.44.15.255	4,096
202.44.128.0	202.44.128.255	256
202.44.130.0	202.44.131.255	512
202.44.135.0	202.44.136.255	512
202.44.138.0	202.44.141.255	1,024
202.44.144.0	202.44.145.255	512
202.44.192.0	202.44.255.255	16,384
202.44.32.0	202.44.47.255	4,096
202.44.52.0	202.44.55.255	1,024
202.44.64.0	202.44.65.255	512
202.44.68.0	202.44.73.255	1,536
202.44.96.0	202.44.96.255	256
202.47.224.0	202.47.255.255	8,192
202.5.80.0	202.5.95.255	4,096
202.52.4.0	202.52.7.255	1,024
202.55.140.0	202.55.143.255	1,024
202.57.128.0	202.57.191.255	16,384
202.58.126.0	202.58.126.255	256
202.58.244.0	202.58.244.255	256
202.6.100.0	202.6.101.255	512
202.6.107.0	202.6.107.255	256
202.6.16.0	202.6.31.255	4,096
202.6.90.0	202.6.90.255	256
